date,RMM1,RMM2,phase,amplitude
1990-10-08,-0.7460658832240232,0.40233918056808604,8.0,0.8476385540612466
1990-10-09,-1.057834189067084,-0.22169989350511787,1.0,1.0808163647629487
1990-10-10,-1.108068480266925,-0.4677834288858931,1.0,1.2027622763045471
1990-10-11,-1.1565233855523198,-0.6421460451025597,1.0,1.3228370589646552
1990-10-12,-1.0044552503897586,-0.7036388127468441,1.0,1.226392241022154
1990-10-13,-0.6652734508599456,-0.514030812559377,1.0,0.8407237600303407
1990-10-14,-0.841913491092654,-0.9160303222925373,2.0,1.244158300958198
1990-10-15,-1.2504386824427336,-1.075010452014985,1.0,1.6490131504904932
1990-10-16,-1.2804855172084209,-1.1319684738508293,1.0,1.7090920939413103
1990-10-17,-0.9680307432477712,-1.2974520080463279,2.0,1.6187851102157693
1990-10-18,-1.1500926470720136,-1.5333995587313656,2.0,1.9167752355366703
1990-10-19,-1.0342226544480322,-1.4203387521538233,2.0,1.756979985612646
1990-10-20,-0.930644186406307,-1.347675665518862,2.0,1.6377815181285824
1990-10-21,-1.1503857561331778,-1.4867702813598598,2.0,1.879859903676064
1990-10-22,-1.4294944806663419,-1.520936946243487,2.0,2.0872718233866903
1990-10-23,-1.3771383421010301,-1.5709033021939613,2.0,2.0890780737274195
1990-10-24,-1.4044237571007105,-1.62931669773827,2.0,2.1510646180525623
1990-10-25,-1.2422619859543813,-1.610639485964946,2.0,2.0340536855001514
1990-10-26,-1.1191440191787987,-1.5626856411455587,2.0,1.9221003482404817
1990-10-27,-0.98660439697975,-1.6195004722147648,2.0,1.896357038018849
1990-10-28,-0.705265706316194,-1.5421649216593352,2.0,1.6957807529578295
1990-10-29,-0.3851011462127513,-1.7825840321087065,2.0,1.8237074119340824
1990-10-30,-0.2017268053707684,-1.9626629424349014,2.0,1.9730026684250381
1990-10-31,0.23237567607230866,-1.9665254776389014,3.0,1.9802072894101193
1990-11-01,0.5893861056457986,-1.8592603168483972,3.0,1.9504422337858465
1990-11-02,0.7401819764659345,-1.6925012414453462,3.0,1.8472763222049524
1990-11-03,0.792226685315087,-1.5235854888574818,3.0,1.7172465934694474
1990-11-04,0.7461485917845994,-1.146066952579354,3.0,1.3675551838286704
1990-11-05,0.7583311700922118,-1.061740312072598,3.0,1.3047446699693548
1990-11-06,0.7308538557765554,-0.4465348944818315,4.0,0.8564699472213595
1990-11-07,0.9490147147189316,-0.2413174337803436,4.0,0.9792155189739313
1990-11-08,1.221531446490632,-0.09968214073402855,4.0,1.2255919402259523
1990-11-09,0.9460738959537252,0.11079706871724732,5.0,0.9525396616631742
1990-11-10,0.9950873921837328,0.30578201038157676,5.0,1.0410098731309039
1990-11-11,1.0084707147559335,0.6151648990620867,5.0,1.1812878715869433
1990-11-12,0.918184590265421,0.8344288520043817,5.0,1.2406991782290457
1990-11-13,0.6267350355500857,1.4346769149757659,6.0,1.5655972199612354
1990-11-14,0.22754362752092688,1.7281918330136525,6.0,1.743107315721115
1990-11-15,0.14608877125610648,2.172765925125362,6.0,2.1776716222775625
1990-11-16,-0.14775753220258928,2.1956114820938235,7.0,2.2005776670285546
1990-11-17,-0.5578769251798794,2.2340656090325273,7.0,2.3026671077491927
1990-11-18,-0.7933298185826938,1.8478148811479682,7.0,2.0109182071989724
1990-11-19,-0.8226142762000913,1.783170583729942,7.0,1.9637697365241125
1990-11-20,-1.186254433837763,1.5939210733014824,7.0,1.9869031102986128
