year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category,landfall_date,month,date,RMM1,RMM2,phase,amplitude,formation_region,typhoon_category,landfall_region
1981,8107,Maury,1981-07-20 06:00:00,25.8,119.61286755613555,15.0,994.0,0,30.0,1,1981-07-20,7,1981-07-20,-0.27017925608533,-1.2799551826213074,2.0,1.3081598143720692,South WNP,Storms,east/north China
1981,8108,(nameless),1981-07-23 06:00:00,28.147426155346302,121.04577215339611,20.0,996.0,1,25.0,1,1981-07-23,7,1981-07-23,0.1579815250955114,-1.0810160754557512,3.0,1.0924989325693906,North WNP,Storms,east/north China
1981,8111,Roy,1981-08-09 12:00:00,18.943111762875024,110.50859020279158,12.0,995.0,0,25.0,1,1981-08-09,8,1981-08-09,0.5778052709244091,2.332962292765525,6.0,2.403450018322371,South China Sea,Storms,south China
1981,8113,Warren,1981-08-19 00:00:00,18.67439318201156,110.32560681798844,20.0,990.0,1,25.0,1,1981-08-19,8,1981-08-19,-1.3010773055756448,0.1572704887750643,8.0,1.3105480386935564,South China Sea,Storms,south China
1981,8116,Clara,1981-09-22 00:00:00,22.793867301308147,115.87674596856104,25.0,985.0,1,60.0,3,1981-09-22,9,1981-09-22,1.9712373741686369,0.3687957392570554,5.0,2.0054393739560963,Open WNP,TCs,south China
1982,8208,Winona,1982-07-17 18:00:00,21.644864675132297,108.55279320388,12.0,998.0,0,25.0,1,1982-07-17,7,1982-07-17,0.5328700259557694,0.8563301473490157,6.0,1.0085890073865018,Open WNP,Storms,south China
1982,8213,Ellis,1982-08-28 06:00:00,42.64031673828788,130.33992081542803,20.0,980.0,1,65.0,3,1982-08-28,8,1982-08-28,0.4904038005246876,1.3019233300473043,6.0,1.391222572017332,Open WNP,TCs,east/north China
1982,8217,Irving,1982-09-15 00:00:00,20.15529513325347,110.68940973349304,35.0,965.0,2,40.0,2,1982-09-15,9,1982-09-15,-0.8412701623575047,0.915755865807208,7.0,1.2435209253701087,South WNP,TCs,south China
1983,8302,Tip,1983-07-13 06:00:00,19.800817572206917,110.99918242779307,15.0,994.0,0,30.0,1,1983-07-13,7,1983-07-13,0.991695112387618,-0.7804817501286379,4.0,1.261986908893017,South WNP,Storms,south China
1983,8303,Vera,1983-07-17 12:00:00,19.45776964695701,110.76892141217196,30.0,970.0,1,35.0,2,1983-07-17,7,1983-07-17,1.004471262707754,-0.9367388166946368,4.0,1.3734781135162577,Open WNP,TCs,south China
1983,8309,Ellen,1983-09-09 06:00:00,22.25058343687346,113.59244040223324,30.0,985.0,1,60.0,3,1983-09-09,9,1983-09-09,-0.6165396831870046,-1.255245273263775,2.0,1.3984855655298634,Open WNP,TCs,south China
1983,8311,Georgia,1983-09-30 06:00:00,19.579811859611382,110.92042331587436,25.0,985.0,1,30.0,1,1983-09-30,9,1983-09-30,1.5005881884169952,0.0650981529463096,5.0,1.5019995608300358,South China Sea,Storms,south China
