year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category
1988,8807,Bill,1988-08-07 18:00:00,29.42466613117643,121.9636685408825,35.0,970.0,2,35.0,2
1988,8817,Kit,1988-09-22 00:00:00,22.839640653819874,116.12316515386868,25.0,985.0,1,35.0,2
1988,8823,Pat,1988-10-22 12:00:00,18.593645396549114,110.18160565173301,30.0,985.0,1,35.0,2
1988,8824,Ruby,1988-10-28 06:00:00,18.74964777474967,110.45176112625165,25.0,980.0,1,45.0,2
1989,8903,Brenda,1989-05-20 18:00:00,21.76925667133878,112.6153379915902,25.0,985.0,1,35.0,2
1989,8905,Dot,1989-06-10 06:00:00,18.38667754543459,109.75497552277217,35.0,970.0,2,40.0,2
1989,8907,Faye,1989-07-10 18:00:00,19.628690756927764,110.97827310768058,20.0,990.0,1,30.0,1
1989,8908,Gordon,1989-07-18 06:00:00,21.578761803404063,111.67787338751843,35.0,970.0,2,60.0,3
1989,8909,Hope,1989-07-20 18:00:00,28.826771858298592,121.68031557489579,40.0,975.0,2,40.0,2
1989,8913,Ken,1989-08-04 00:00:00,31.208162880382694,121.76734847846923,25.0,985.0,1,30.0,1
1989,8912,(nameless),1989-07-30 00:00:00,25.0696022623184,121.9215909507264,15.0,996.0,0,20.0,1
1989,8918,(nameless),1989-08-20 00:00:00,26.8,120.13535744114094,10.0,1004.0,0,25.0,1
1989,8921,Sarah,1989-09-11 18:00:00,23.65334438678431,121.53464898114511,30.0,975.0,1,55.0,3
1989,8923,Vera,1989-09-15 12:00:00,28.43878474405189,121.57063298763244,30.0,980.0,1,30.0,1
1989,8926,Brian,1989-10-02 18:00:00,18.415695152071283,110.06771364053462,35.0,975.0,2,40.0,2
1990,9004,Nathan,1990-06-18 12:00:00,21.608017466547416,109.55991266726294,20.0,990.0,1,30.0,1
1990,9005,Ofelia,1990-06-23 06:00:00,23.120770557575902,121.4,40.0,965.0,2,40.0,2
1990,9006,Percy,1990-06-29 12:00:00,23.86722617764186,117.60492176504053,30.0,980.0,1,45.0,2
1990,9009,Tasha,1990-07-31 00:00:00,22.716392464000347,115.56816980666652,25.0,980.0,1,35.0,2
1990,9012,Yancy,1990-08-19 06:00:00,24.77432879926527,121.81213680416347,40.0,960.0,2,40.0,2
1990,9015,Abe,1990-08-31 06:00:00,28.623606677246094,121.51250570068359,30.0,980.0,1,45.0,2
1990,9017,Cecil,1990-09-04 12:00:00,26.921477763638176,120.20469631514909,20.0,1000.0,1,30.0,1
1990,9018,Dot,1990-09-07 18:00:00,23.245407610915333,121.40918477816935,35.0,970.0,2,40.0,2
1991,9103,Vanessa,1991-04-28 06:00:00,18.657508903762295,110.26332937610564,15.0,1000.0,0,25.0,1
