year,chinese_code,name,landfall_time,month,in_jjaso,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,landfall_region,landfall_region2,max_wind,lmi_category,genesis_time,genesis_lat,genesis_lon,formation_region,track_length_km,pre_landfall_track_km,ocean_residence_days,phase_landfall,amp_landfall,group_landfall,active_landfall,phase_genesis,amp_genesis,group_genesis,active_genesis,tcp_total,tcp_depth,affected_area,n_days,coastal_total,coastal_depth,coastal_area,inland_total,inland_depth,inland_area
1979,7908,Hope,1979-08-02 06:00:00,8,True,22.470574295698952,114.52559706630804,45.0,955.0,2,South China,South China,70.0,3,1979-07-25 00:00:00,9.5,146.0,Eastern Tropical WNP,4965.011902965962,3850.5162321159282,8.25,4.0,1.8483261385841223,3-4,True,2.0,1.022646013702155,1-2,True,19789.28720362325,25.181884899287848,785854.0884754382,10,17181.534985336868,32.91845704358605,521942.29403241666,2607.752218286385,9.881150722308465,263911.7944430215
1979,7907,Gordon,1979-07-29 12:00:00,7,True,22.828366963183058,116.10601829750682,20.0,990.0,1,South China,South China,30.0,1,1979-07-25 06:00:00,19.2,131.5,Western Tropical WNP,2403.4139110919714,1717.3006356202109,4.25,4.0,0.7842631104659821,3-4,False,2.0,1.022646013702155,1-2,True,16373.6017046463,22.702077483119833,721238.0328109143,6,11863.19241996649,31.792977053487956,373138.77212593396,4510.409284679809,12.95725039979789,348099.2606849802
1979,7913,Mac,1979-09-23 18:00:00,9,True,22.159253399280303,113.4814932014394,15.0,1000.0,0,South China,South China,30.0,1,1979-09-11 18:00:00,11.8,141.7,Eastern Tropical WNP,4002.7521412284204,3630.0321947707043,12.0,4.0,2.0414377578173664,3-4,True,2.0,1.5555462276003709,1-2,True,24141.92924319307,64.5929657168745,373754.7730663518,15,20008.585103704263,86.7261281130826,230710.0010001021,4133.344139488806,28.895457553488853,143044.77206624972
1979,7914,Nancy,1979-09-19 18:00:00,9,True,18.9,110.51403892103764,20.0,994.0,1,South China,South China,20.0,1,1979-09-17 12:00:00,16.0,112.4,South China Sea,1008.2357868492346,430.76477267675773,2.25,3.0,1.1580217487384024,3-4,True,2.0,1.2262071963421546,1-2,True,14342.708357702975,103.06327652565012,139164.10229916763,7,14341.948404639244,103.56589557135239,138481.3825585882,0.7599530637301894,1.11312595573291,682.7197405794183
1980,8004,Georgia,1980-05-24 00:00:00,5,False,22.966185466001424,116.30498014338504,20.0,988.0,1,South China,South China,25.0,1,1980-05-19 00:00:00,16.9,117.0,South China Sea,2100.7200379010264,1611.585182429277,5.0,2.0,0.793227868952928,1-2,False,2.0,0.2897457945291982,1-2,False,6619.444794170845,20.029348372881024,330487.27651735896,6,6278.085617209332,24.872030049611382,252415.4885904629,341.35917696151347,4.372375553652637,78071.78792689607
1980,8005,Herbert,1980-06-27 00:00:00,6,True,18.5763612584744,110.1618193707628,25.0,985.0,1,South China,South China,25.0,1,1980-06-22 00:00:00,9.2,131.5,Western Tropical WNP,3501.602295708381,2616.881438914691,5.0,4.0,0.9209391894494424,3-4,False,4.0,0.5431087982340611,3-4,False,21895.048799528173,39.57382388626731,553270.9920186932,8,20602.105203739433,53.32898912953264,386320.9398869021,1292.9435957887358,7.744493513353804,166950.05213179113
1980,8006,Ida,1980-07-11 18:00:00,7,True,23.21710564808123,116.78004341057188,20.0,985.0,1,South China,South China,30.0,1,1980-07-05 18:00:00,10.8,141.6,Eastern Tropical WNP,5634.5954201232325,3036.640837763177,6.0,6.0,0.8188802299574418,5-6,False,5.0,2.0162349857201733,5-6,True,32190.188523987847,30.8543614090899,1043294.5960924799,11,17838.61180883138,36.19101035627733,492901.73535421275,14351.576715156463,26.075150567734543,550392.8607382671
1980,8008,(nameless),1980-07-19 06:00:00,7,True,21.525844842434548,111.66772099503572,12.0,999.0,0,South China,South China,20.0,1,1980-07-14 18:00:00,14.5,132.5,Western Tropical WNP,3480.317117701167,2601.4620783492774,4.5,6.0,0.3017559704242467,5-6,False,6.0,0.3430467618081517,5-6,False,11967.862851105072,20.46469609626988,584805.3054296988,7,11010.721386249852,27.535765326475005,399869.8149734483,957.14146485522,5.175542360711168,184935.4904562504
1980,8009,Kim,1980-07-27 12:00:00,7,True,22.8090479406105,115.93132267986434,25.0,993.0,1,South China,South China,60.0,3,1980-07-19 12:00:00,9.7,151.6,Eastern Tropical WNP,4772.369100339415,4454.967331005919,8.0,1.0,1.0282220108617617,1-2,True,6.0,0.3017559704242467,5-6,False,3978.4975878252217,11.186112389877673,355664.00990440336,9,2987.3630507379303,16.12820385573093,185226.02252924853,991.1345370872914,5.8152208457242756,170437.98737515486
1980,8012,Norris,1980-08-27 18:00:00,8,True,24.586314230302268,121.86947875151763,35.0,975.0,2,East China,East/North China,45.0,2,1980-08-23 06:00:00,15.5,141.5,Eastern Tropical WNP,3180.5576879553723,2330.617388318639,4.5,5.0,1.7771269353835208,5-6,True,4.0,2.410728513327363,3-4,True,15930.585017072457,26.710026070331935,596427.1609142043,7,10703.166867531423,37.782765594536954,283281.7211527524,5227.418149541034,16.693259699145475,313145.43976145197
